index,keywords,documents_count,documents_rate,documents_highly_relevant
0,"0.062*""code"" + 0.047*""import"" + 0.041*""gt"" + 0.031*""pre"" + 0.024*""p"" + 0.021*""print"" + 0.020*""qiskit"" + 0.016*""qc"" + 0.016*""quantumcircuit"" + 0.015*""range""",1715,0.25,"[(78180575, 0.9950257), (29048, 0.95241773), (39153, 0.920782), (31444, 0.8670608), (40207, 0.84651035), (39321, 0.835279), (33792, 0.83294874), (76030148, 0.83208), (26785, 0.8296852), (38459, 0.82406396), (39090, 0.819196), (76811770, 0.8117869), (27192, 0.81170505), (38699, 0.80776185), (27566, 0.80192924), (32359, 0.7930838), (27147, 0.7834094), (18280, 0.77571666), (78449203, 0.76979494), (28380, 0.76490754)]"
1,"0.125*""quantum"" + 0.056*""hamiltonian"" + 0.052*""classical"" + 0.033*""p"" + 0.032*""problem"" + 0.031*""time"" + 0.029*""computer"" + 0.019*""system"" + 0.016*""computers"" + 0.014*""computing""",1716,0.25,"[(38569, 0.73285174), (37080, 0.7246976), (38962, 0.7228834), (18465, 0.7227735), (39977, 0.7219301), (38832, 0.69047177), (25952, 0.6611466), (38305, 0.6295786), (25990, 0.62251097), (38077, 0.6218468), (37153, 0.6204025), (37333, 0.60460716), (17982, 0.5961056), (33455, 0.593611), (35678, 0.5903028), (23329, 0.57603323), (20924, 0.5743572), (32315, 0.5715103), (37611, 0.56546265), (30086, 0.55475014)]"
2,"0.358*""0"" + 0.241*""1"" + 0.161*""2"" + 0.037*""3"" + 0.015*""4"" + 0.010*""b"" + 0.010*""p"" + 0.009*""unitary"" + 0.007*""matrix"" + 0.006*""qreg""",2052,0.29,"[(31653, 0.9988784), (23766, 0.7980059), (21364, 0.75271153), (32858, 0.6997509), (26650, 0.6667547), (29982, 0.59857446), (39299, 0.59481186), (33080, 0.5786613), (32729, 0.5784272), (37338, 0.57484937), (40133, 0.5687342), (40079, 0.5682198), (38129, 0.5574107), (24181, 0.5291743), (27821, 0.50745374)]"
3,"0.203*""span"" + 0.062*""p"" + 0.020*""n"" + 0.012*""state"" + 0.010*""u"" + 0.010*""1"" + 0.008*""quantum"" + 0.008*""h"" + 0.008*""states"" + 0.007*""unitary""",4228,0.6,"[(29818, 0.99899), (33801, 0.99786955), (35273, 0.997769), (37530, 0.9976877), (18165, 0.99704), (21843, 0.99699295), (24164, 0.9968429), (22027, 0.99667776), (20855, 0.9965571), (18294, 0.9964277), (17784, 0.99642766), (35599, 0.99605757), (35206, 0.99597406), (37739, 0.9958868), (35413, 0.99579614), (17991, 0.9957959), (17795, 0.9956015), (21884, 0.9954973), (38845, 0.99549687), (17709, 0.99549663)]"
4,"0.148*""https"" + 0.101*""p"" + 0.090*""noreferrer"" + 0.087*""nofollow"" + 0.046*""img"" + 0.037*""image"" + 0.035*""description"" + 0.033*""enter"" + 0.031*""circuit"" + 0.011*""gate""",2633,0.38,"[(25825, 0.99349177), (18275, 0.99214745), (28409, 0.96419173), (26694, 0.93767506), (40062, 0.9369455), (39318, 0.8737176), (35867, 0.8641356), (21340, 0.8494597), (27994, 0.8459827), (22246, 0.83486736), (27764, 0.83354557), (28186, 0.8214781), (39410, 0.8035429), (32652, 0.8030157), (20886, 0.7978388), (32869, 0.79667616), (32848, 0.78451914), (23781, 0.78124005), (23536, 0.7722472), (18150, 0.7680814)]"
5,"0.074*""code"" + 0.067*""error"" + 0.042*""logical"" + 0.033*""p"" + 0.031*""stabilizer"" + 0.028*""codes"" + 0.022*""errors"" + 0.019*""z"" + 0.019*""surface"" + 0.017*""correction""",1657,0.24,"[(32663, 0.83717376), (32310, 0.8241426), (29730, 0.8043838), (23773, 0.7727221), (37009, 0.7656927), (37047, 0.7472796), (34515, 0.74310046), (35346, 0.7409051), (32434, 0.7273232), (40300, 0.72374064), (32164, 0.7163229), (37666, 0.6852), (32161, 0.6804778), (32760, 0.67287296), (35170, 0.6693459), (33116, 0.6595098), (35184, 0.6592275), (33107, 0.6563354), (40235, 0.6430043), (21956, 0.6427918)]"
6,"0.066*""4"" + 0.052*""3"" + 0.049*""5"" + 0.046*""1"" + 0.044*""6"" + 0.042*""0"" + 0.042*""2"" + 0.040*""8"" + 0.039*""rec"" + 0.037*""7""",1140,0.16,"[(29537, 0.9398436), (28672, 0.9187664), (38030, 0.9074403), (28958, 0.8813055), (23859, 0.87556833), (37519, 0.81175375), (27684, 0.7968157), (40024, 0.78777564), (32782, 0.6925942), (34924, 0.68033594), (32468, 0.67557096), (33732, 0.62331617), (35388, 0.613762), (30074, 0.5974513), (33630, 0.5822013), (39957, 0.57205147)]"
7,"0.044*""li"" + 0.041*""algorithm"" + 0.036*""p"" + 0.017*""number"" + 0.017*""quantum"" + 0.014*""n"" + 0.012*""grover"" + 0.011*""complexity"" + 0.011*""https"" + 0.011*""find""",2215,0.32,"[(20934, 0.84880304), (35731, 0.8229909), (40139, 0.79839665), (21584, 0.7968335), (35270, 0.78070295), (35857, 0.779075), (30346, 0.7755897), (35393, 0.7584194), (39263, 0.71601254), (25647, 0.67298687), (34564, 0.66115767), (21228, 0.6589577), (18621, 0.6489848), (29590, 0.64624566), (39544, 0.6399318), (34907, 0.63881195), (38292, 0.63417643), (21997, 0.63101256), (40275, 0.6267829), (32145, 0.6153193)]"
8,"0.053*""quantum"" + 0.042*""p"" + 0.012*""would"" + 0.008*""algorithm"" + 0.008*""computing"" + 0.007*""like"" + 0.006*""one"" + 0.006*""could"" + 0.006*""know"" + 0.006*""strong""",2790,0.4,"[(161119, 0.9905931), (161119, 0.9905931), (40475, 0.9889517), (27773, 0.98054916), (32450, 0.9445842), (27822, 0.9440158), (30169, 0.8914618), (38035, 0.8895742), (27690, 0.88827014), (23317, 0.88401777), (37648, 0.88082355), (28217, 0.87897474), (35464, 0.87523764), (38102, 0.87122464), (33957, 0.86479574), (38126, 0.86434), (21016, 0.86182994), (34015, 0.84967476), (21743, 0.84530354), (27370, 0.84387994)]"
9,"0.043*""p"" + 0.033*""gate"" + 0.031*""gates"" + 0.025*""https"" + 0.020*""noreferrer"" + 0.017*""nofollow"" + 0.016*""span"" + 0.013*""clifford"" + 0.012*""em"" + 0.008*""paper""",2872,0.41,"[(38374, 0.94594884), (21858, 0.9422153), (30107, 0.9358382), (18338, 0.9058889), (38232, 0.90294147), (21014, 0.90194875), (26051, 0.88248503), (28342, 0.86898375), (21102, 0.85477096), (18324, 0.84386116), (34743, 0.8132441), (24248, 0.8074163), (28594, 0.7814887), (24470, 0.7776027), (26990, 0.75492334), (39663, 0.7426203), (37604, 0.7404058), (23345, 0.73915994), (28179, 0.7378023), (38156, 0.73507845)]"
10,"0.378*""x"" + 0.095*""f"" + 0.079*""q"" + 0.054*""p"" + 0.033*""function"" + 0.032*""span"" + 0.024*""oracle"" + 0.023*""n"" + 0.019*""algorithm"" + 0.013*""constant""",1553,0.22,"[(21290, 0.5832127), (24435, 0.56587243)]"
11,"0.236*""matrix"" + 0.092*""density"" + 0.039*""map"" + 0.037*""positive"" + 0.022*""qutip"" + 0.022*""process"" + 0.020*""matrices"" + 0.020*""eigenvalues"" + 0.018*""ry"" + 0.018*""tensor""",1273,0.18,"[(26627, 0.5129143)]"
12,"0.191*""22"" + 0.090*""2c"" + 0.072*""2c1"" + 0.061*""5d"" + 0.045*""e2"" + 0.033*""80"" + 0.031*""5b"" + 0.025*""3a"" + 0.025*""a2"" + 0.023*""5b1""",324,0.05,"[(35889, 0.9999671), (38154, 0.9139054), (37014, 0.89486617), (29036, 0.86508477), (29100, 0.81528604), (28860, 0.81321675), (33963, 0.6978039), (40243, 0.67706126), (31739, 0.6248812), (28469, 0.5991743), (22156, 0.5804298), (28490, 0.56930006)]"
13,"0.054*""p"" + 0.025*""state"" + 0.012*""https"" + 0.011*""graph"" + 0.011*""quantum"" + 0.011*""br"" + 0.010*""would"" + 0.009*""understand"" + 0.008*""nofollow"" + 0.008*""noreferrer""",2218,0.32,"[(26407, 0.7842147), (26666, 0.70200163), (40238, 0.6902521), (25922, 0.67275316), (258475, 0.6727323), (258475, 0.672677), (23921, 0.66501606), (38290, 0.66471803), (33709, 0.64954853), (35519, 0.639833), (17849, 0.6184804), (22248, 0.61343336), (38286, 0.61148167), (25657, 0.6114592), (35458, 0.61125916), (28187, 0.5952173), (31530, 0.5698485), (37421, 0.5692472), (35326, 0.5537566), (17813, 0.5477501)]"
14,"0.052*""p"" + 0.045*""circuit"" + 0.045*""code"" + 0.025*""qiskit"" + 0.017*""using"" + 0.012*""circuits"" + 0.011*""quantum"" + 0.010*""qubits"" + 0.010*""use"" + 0.010*""way""",3166,0.45,"[(38760, 0.9950244), (26860, 0.99489224), (36977, 0.9939089), (28990, 0.9927469), (29212, 0.9927438), (34155, 0.9924571), (34639, 0.99214846), (28183, 0.9921477), (26508, 0.99010223), (21176, 0.9895576), (34332, 0.9889524), (29342, 0.9813722), (39252, 0.9787199), (37720, 0.9747002), (37634, 0.9729477), (18157, 0.9560726), (34186, 0.9557732), (38187, 0.9514014), (23558, 0.94846463), (38065, 0.9441031)]"
15,"0.397*""amp"" + 0.052*""bmatrix"" + 0.048*""span"" + 0.043*""pmatrix"" + 0.040*""p"" + 0.033*""0"" + 0.022*""align"" + 0.019*""1"" + 0.016*""matrix"" + 0.012*""b""",992,0.14,"[(30298, 0.90487367), (21131, 0.8723256), (17852, 0.80122334), (33872, 0.7902204), (38419, 0.75970834), (22187, 0.7175988), (37376, 0.7153745), (39021, 0.6984928), (18078, 0.6980536), (23833, 0.69597155), (33071, 0.6933984), (31484, 0.6666206), (28396, 0.61760205), (21856, 0.61458105), (35314, 0.6135275), (21261, 0.58453363), (28504, 0.58368194), (40189, 0.5817084), (38421, 0.57458055), (31981, 0.56687105)]"
16,"0.081*""lattice"" + 0.079*""q1"" + 0.056*""parametervectorelement"" + 0.055*""Î¸"" + 0.046*""q0"" + 0.038*""calibration"" + 0.033*""cirq"" + 0.033*""api"" + 0.032*""surgery"" + 0.031*""device""",342,0.05,"[(39389, 0.5241282), (37309, 0.51300794)]"
17,"0.059*""id"" + 0.041*""td"" + 0.028*""energy"" + 0.025*""e"" + 0.022*""molecule"" + 0.020*""x1"" + 0.018*""pymatching"" + 0.017*""x2"" + 0.016*""matching"" + 0.015*""toric""",635,0.09,"[(37208, 0.5675407), (30020, 0.5138562)]"
18,"0.071*""state"" + 0.043*""p"" + 0.041*""qubit"" + 0.033*""span"" + 0.027*""qubits"" + 0.020*""measurement"" + 0.018*""states"" + 0.014*""one"" + 0.013*""entangled"" + 0.012*""quantum""",2756,0.39,"[(33431, 0.9918099), (22078, 0.99144024), (28734, 0.99010277), (27870, 0.9768248), (30371, 0.94823986), (27787, 0.9377712), (34032, 0.9206148), (34044, 0.9144776), (37984, 0.9131583), (21240, 0.90924174), (37518, 0.8963492), (37987, 0.89224017), (21930, 0.8851496), (31464, 0.8719215), (21106, 0.8604819), (28856, 0.8576855), (38118, 0.8506792), (31456, 0.8448304), (23396, 0.8447361), (38622, 0.84413284)]"
19,"0.522*""quot"" + 0.011*""c"" + 0.011*""self"" + 0.010*""file"" + 0.008*""p"" + 0.008*""function"" + 0.007*""call"" + 0.007*""cost"" + 0.007*""f"" + 0.006*""acc""",1822,0.26,"[(38727, 0.6373716), (31446, 0.597873), (38672, 0.5965521)]"
